level_0,index,competition_name,competition_link,competition_tabindex,discipline_link,Event number,Event,Category,Minimum,Start Time,Total Entries,Total Participants,results_link,competition_link_check,results_link_check,TotalParticipantsInt,Date,Year,Time,Status
398,398,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,67,100m Butterfly,Girls 13,01:40.00,09/02/2024 15:12:30,22,21,/LeagueTable/AthleticsDisciplineResults/44420?isModal=True,1,1,21,2024-02-09 00:00:00,2024,15:12:30,Passed
399,399,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,68,100m Butterfly,Boys 13,01:35.00,09/02/2024 15:19:00,22,22,/LeagueTable/AthleticsDisciplineResults/44444?isModal=True,1,1,22,2024-02-09 00:00:00,2024,15:19:00,Passed
400,400,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,70,100m Butterfly,Boys 14,01:30.00,09/02/2024 15:27:00,34,31,/LeagueTable/AthleticsDisciplineResults/44456?isModal=True,1,1,31,2024-02-09 00:00:00,2024,15:27:00,Passed
401,401,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,71,200m Freestyle,Girls 12,03:00.00,09/02/2024 15:37:00,20,20,/LeagueTable/AthleticsDisciplineResults/44410?isModal=True,1,1,20,2024-02-09 00:00:00,2024,15:37:00,Passed
402,402,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,72,200m Freestyle,Boys 12,02:55.00,09/02/2024 15:44:00,29,28,/LeagueTable/AthleticsDisciplineResults/44434?isModal=True,1,1,28,2024-02-09 00:00:00,2024,15:44:00,Passed
403,403,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,73,200m Freestyle,Girls 13,02:50.00,09/02/2024 15:56:00,23,23,/LeagueTable/AthleticsDisciplineResults/44422?isModal=True,1,1,23,2024-02-09 00:00:00,2024,15:56:00,Passed
404,404,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,74,200m Freestyle,Boys 13,02:45.00,09/02/2024 16:06:00,29,28,/LeagueTable/AthleticsDisciplineResults/44446?isModal=True,1,1,28,2024-02-09 00:00:00,2024,16:06:00,Passed
405,405,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,76,200m Freestyle,Boys 14,02:35.00,09/02/2024 16:17:00,27,23,/LeagueTable/AthleticsDisciplineResults/44458?isModal=True,1,1,23,2024-02-09 00:00:00,2024,16:17:00,Passed
406,406,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,77,200m Backstroke,Girls 12,03:20.00,09/02/2024 16:27:00,18,18,/LeagueTable/AthleticsDisciplineResults/44409?isModal=True,1,1,18,2024-02-09 00:00:00,2024,16:27:00,Passed
407,407,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,78,200m Backstroke,Boys 12,03:15.00,09/02/2024 16:36:00,30,30,/LeagueTable/AthleticsDisciplineResults/44433?isModal=True,1,1,30,2024-02-09 00:00:00,2024,16:36:00,Passed
408,408,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,79,200m Backstroke,Girls 13,03:10.00,09/02/2024 16:50:00,17,17,/LeagueTable/AthleticsDisciplineResults/44421?isModal=True,1,1,17,2024-02-09 00:00:00,2024,16:50:00,Passed
409,409,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,80,200m Backstroke,Boys 13,03:10.00,09/02/2024 16:58:00,23,22,/LeagueTable/AthleticsDisciplineResults/44445?isModal=True,1,1,22,2024-02-09 00:00:00,2024,16:58:00,Passed
410,410,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,82,200m Backstroke,Boys 14,03:00.00,09/02/2024 17:10:00,25,24,/LeagueTable/AthleticsDisciplineResults/44457?isModal=True,1,1,24,2024-02-09 00:00:00,2024,17:10:00,Passed
411,411,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,83,100m Individual Medley,Girls 12,01:40.00,09/02/2024 17:22:00,29,28,/LeagueTable/AthleticsDisciplineResults/44407?isModal=True,1,1,28,2024-02-09 00:00:00,2024,17:22:00,Passed
412,412,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,84,100m Individual Medley,Boys 12,01:35.00,09/02/2024 17:29:00,41,39,/LeagueTable/AthleticsDisciplineResults/44431?isModal=True,1,1,39,2024-02-09 00:00:00,2024,17:29:00,Passed
413,413,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,85,100m Individual Medley,Girls 13,01:40.00,09/02/2024 17:42:00,32,31,/LeagueTable/AthleticsDisciplineResults/44419?isModal=True,1,1,31,2024-02-09 00:00:00,2024,17:42:00,Passed
414,414,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,86,100m Individual Medley,Boys 13,01:30.00,09/02/2024 17:52:00,36,35,/LeagueTable/AthleticsDisciplineResults/44443?isModal=True,1,1,35,2024-02-09 00:00:00,2024,17:52:00,Passed
415,415,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,88,100m Individual Medley,Boys 14,01:25.00,09/02/2024 18:02:00,42,39,/LeagueTable/AthleticsDisciplineResults/44455?isModal=True,1,1,39,2024-02-09 00:00:00,2024,18:02:00,Passed
416,416,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,89,4X50m Medley Relay,Girls 12-13,00:00.00,09/02/2024 18:14:00,109,84,/LeagueTable/AthleticsDisciplineResults/44476?isModal=True,1,1,84,2024-02-09 00:00:00,2024,18:14:00,Passed
417,417,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,90,4X50m Medley Relay,Boys 12,00:00.00,09/02/2024 18:29:00,66,52,/LeagueTable/AthleticsDisciplineResults/44478?isModal=True,1,1,52,2024-02-09 00:00:00,2024,18:29:00,Passed
418,418,מוקדמות אליפות צעירים חלק א',comp.asp?compID=466,43,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10030,92,4X50m Medley Relay,,00:00.00,09/02/2024 18:39:00,139,108,/LeagueTable/AthleticsDisciplineResults/44480?isModal=True,1,1,108,2024-02-09 00:00:00,2024,18:39:00,Passed
419,419,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,1,200m Individual Medley,Girls 12,03:20.00,02/02/2024 09:45:00,10,10,/LeagueTable/AthleticsDisciplineResults/44489?isModal=True,1,1,10,2024-02-02 00:00:00,2024,09:45:00,Passed
420,420,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,2,200m Individual Medley,Boys 12,03:15.00,02/02/2024 09:49:00,16,16,/LeagueTable/AthleticsDisciplineResults/44513?isModal=True,1,1,16,2024-02-02 00:00:00,2024,09:49:00,Passed
421,421,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,3,200m Individual Medley,Girls 13,03:15.00,02/02/2024 09:57:00,19,19,/LeagueTable/AthleticsDisciplineResults/44501?isModal=True,1,1,19,2024-02-02 00:00:00,2024,09:57:00,Passed
422,422,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,4,200m Individual Medley,Boys 13,03:05.00,02/02/2024 10:05:00,22,22,/LeagueTable/AthleticsDisciplineResults/44525?isModal=True,1,1,22,2024-02-02 00:00:00,2024,10:05:00,Passed
423,423,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,5,200m Individual Medley,Boys 14,02:55.00,02/02/2024 10:15:30,33,33,/LeagueTable/AthleticsDisciplineResults/44537?isModal=True,1,1,33,2024-02-02 00:00:00,2024,10:15:30,Passed
424,424,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,7,50m Freestyle,Girls 12,00:37.50,02/02/2024 10:29:30,41,39,/LeagueTable/AthleticsDisciplineResults/44543?isModal=True,1,1,39,2024-02-02 00:00:00,2024,10:29:30,Passed
425,425,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,8,50m Freestyle,Boys 12,00:35.50,02/02/2024 10:39:30,42,37,/LeagueTable/AthleticsDisciplineResults/44545?isModal=True,1,1,37,2024-02-02 00:00:00,2024,10:39:30,Passed
426,426,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,9,50m Freestyle,Girls 13,00:35.50,02/02/2024 10:49:30,28,26,/LeagueTable/AthleticsDisciplineResults/44544?isModal=True,1,1,26,2024-02-02 00:00:00,2024,10:49:30,Passed
427,427,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,10,50m Freestyle,Boys 13,00:34.00,02/02/2024 10:54:00,45,44,/LeagueTable/AthleticsDisciplineResults/44546?isModal=True,1,1,44,2024-02-02 00:00:00,2024,10:54:00,Passed
428,428,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,12,50m Freestyle,Boys 14,00:33.00,02/02/2024 11:01:30,49,46,/LeagueTable/AthleticsDisciplineResults/44547?isModal=True,1,1,46,2024-02-02 00:00:00,2024,11:01:30,Passed
429,429,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,13,400m Freestyle,Girls 12,06:00.00,02/02/2024 11:09:00,11,10,/LeagueTable/AthleticsDisciplineResults/44491?isModal=True,1,1,10,2024-02-02 00:00:00,2024,11:09:00,Passed
430,430,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,14,400m Freestyle,Boys 12,05:50.00,02/02/2024 11:23:00,12,12,/LeagueTable/AthleticsDisciplineResults/44515?isModal=True,1,1,12,2024-02-02 00:00:00,2024,11:23:00,Passed
431,431,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,15,400m Freestyle,Girls 13,05:45.00,02/02/2024 11:36:00,16,15,/LeagueTable/AthleticsDisciplineResults/44503?isModal=True,1,1,15,2024-02-02 00:00:00,2024,11:36:00,Passed
432,432,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,16,400m Freestyle,Boys 13,05:35.00,02/02/2024 11:49:00,21,21,/LeagueTable/AthleticsDisciplineResults/44527?isModal=True,1,1,21,2024-02-02 00:00:00,2024,11:49:00,Passed
433,433,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,18,400m Freestyle,Boys 14,05:15.00,02/02/2024 12:08:30,26,26,/LeagueTable/AthleticsDisciplineResults/44539?isModal=True,1,1,26,2024-02-02 00:00:00,2024,12:08:30,Passed
434,434,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,19,4X100m Freestyle Relay Mix,Mix 12,00:00.00,02/02/2024 12:26:30,101,76,/LeagueTable/AthleticsDisciplineResults/44548?isModal=True,1,1,76,2024-02-02 00:00:00,2024,12:26:30,Passed
435,435,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,20,4X100m Freestyle Relay Mix,Mix 13-14,00:00.00,02/02/2024 12:40:30,117,88,/LeagueTable/AthleticsDisciplineResults/44550?isModal=True,1,1,88,2024-02-02 00:00:00,2024,12:40:30,Passed
436,436,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,21,100m Freestyle,Girls 12,01:25.00,02/02/2024 12:58:30,48,44,/LeagueTable/AthleticsDisciplineResults/44482?isModal=True,1,1,44,2024-02-02 00:00:00,2024,12:58:30,Passed
437,437,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,22,100m Freestyle,Boys 12,01:20.00,02/02/2024 14:45:00,46,44,/LeagueTable/AthleticsDisciplineResults/44506?isModal=True,1,1,44,2024-02-02 00:00:00,2024,14:45:00,Passed
438,438,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,23,100m Freestyle,Girls 13,01:22.00,02/02/2024 14:57:30,38,34,/LeagueTable/AthleticsDisciplineResults/44494?isModal=True,1,1,34,2024-02-02 00:00:00,2024,14:57:30,Passed
439,439,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,24,100m Freestyle,Boys 13,01:17.00,02/02/2024 15:07:30,53,53,/LeagueTable/AthleticsDisciplineResults/44518?isModal=True,1,1,53,2024-02-02 00:00:00,2024,15:07:30,Passed
440,440,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,26,100m Freestyle,Boys 14,01:14.00,02/02/2024 15:22:30,46,45,/LeagueTable/AthleticsDisciplineResults/44530?isModal=True,1,1,45,2024-02-02 00:00:00,2024,15:22:30,Passed
441,441,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,27,200m Butterfly,Girls 12,03:40.00,02/02/2024 15:35:00,5,4,/LeagueTable/AthleticsDisciplineResults/44490?isModal=True,1,1,4,2024-02-02 00:00:00,2024,15:35:00,Passed
442,442,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,28,200m Butterfly,Boys 12,03:45.00,02/02/2024 15:40:00,11,11,/LeagueTable/AthleticsDisciplineResults/44514?isModal=True,1,1,11,2024-02-02 00:00:00,2024,15:40:00,Passed
443,443,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,29,200m Butterfly,Girls 13,03:20.00,02/02/2024 15:49:00,7,7,/LeagueTable/AthleticsDisciplineResults/44502?isModal=True,1,1,7,2024-02-02 00:00:00,2024,15:49:00,Passed
444,444,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,30,200m Butterfly,Boys 13,03:30.00,02/02/2024 15:53:00,13,13,/LeagueTable/AthleticsDisciplineResults/44526?isModal=True,1,1,13,2024-02-02 00:00:00,2024,15:53:00,Passed
445,445,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,32,200m Butterfly,Boys 14,03:10.00,02/02/2024 16:02:00,18,18,/LeagueTable/AthleticsDisciplineResults/44538?isModal=True,1,1,18,2024-02-02 00:00:00,2024,16:02:00,Passed
446,446,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,33,100m Breaststroke,Girls 12,01:50.00,02/02/2024 16:11:00,33,33,/LeagueTable/AthleticsDisciplineResults/44483?isModal=True,1,1,33,2024-02-02 00:00:00,2024,16:11:00,Passed
447,447,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,34,100m Breaststroke,Boys 12,01:45.00,02/02/2024 16:21:00,32,30,/LeagueTable/AthleticsDisciplineResults/44507?isModal=True,1,1,30,2024-02-02 00:00:00,2024,16:21:00,Passed
448,448,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,35,100m Breaststroke,Girls 13,01:45.00,02/02/2024 16:31:00,26,23,/LeagueTable/AthleticsDisciplineResults/44495?isModal=True,1,1,23,2024-02-02 00:00:00,2024,16:31:00,Passed
449,449,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,36,100m Breaststroke,Boys 13,01:40.00,02/02/2024 16:38:30,32,30,/LeagueTable/AthleticsDisciplineResults/44519?isModal=True,1,1,30,2024-02-02 00:00:00,2024,16:38:30,Passed
450,450,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,38,100m Breaststroke,Boys 14,01:35.00,02/02/2024 16:46:00,30,28,/LeagueTable/AthleticsDisciplineResults/44531?isModal=True,1,1,28,2024-02-02 00:00:00,2024,16:46:00,Passed
451,451,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,39,800m Freestyle,Girls 13,11:40.00,02/02/2024 16:53:30,8,7,/LeagueTable/AthleticsDisciplineResults/44541?isModal=True,1,1,7,2024-02-02 00:00:00,2024,16:53:30,Passed
452,452,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,40,800m Freestyle,Boys 14,10:45.00,02/02/2024 17:05:30,18,18,/LeagueTable/AthleticsDisciplineResults/44542?isModal=True,1,1,18,2024-02-02 00:00:00,2024,17:05:30,Passed
453,453,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,41,4X50m Medley Relay Mix,Mix 12,00:00.00,02/02/2024 17:29:30,103,72,/LeagueTable/AthleticsDisciplineResults/44549?isModal=True,1,1,72,2024-02-02 00:00:00,2024,17:29:30,Passed
454,454,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,42,4X50m Medley Relay Mix,Mix 13-14,00:00.00,02/02/2024 17:39:30,109,80,/LeagueTable/AthleticsDisciplineResults/44551?isModal=True,1,1,80,2024-02-02 00:00:00,2024,17:39:30,Passed
455,455,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,43,400m Individual Medley,Girls 12,06:40.00,10/02/2024 09:30:00,3,3,/LeagueTable/AthleticsDisciplineResults/44492?isModal=True,1,1,3,2024-02-10 00:00:00,2024,09:30:00,Passed
456,456,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,44,400m Individual Medley,Boys 12,06:30.00,10/02/2024 09:37:00,7,7,/LeagueTable/AthleticsDisciplineResults/44516?isModal=True,1,1,7,2024-02-10 00:00:00,2024,09:37:00,Passed
457,457,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,45,400m Individual Medley,Girls 13,06:20.00,10/02/2024 09:44:00,7,7,/LeagueTable/AthleticsDisciplineResults/44504?isModal=True,1,1,7,2024-02-10 00:00:00,2024,09:44:00,Passed
458,458,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,46,400m Individual Medley,Boys 13,06:10.00,10/02/2024 09:51:00,8,8,/LeagueTable/AthleticsDisciplineResults/44528?isModal=True,1,1,8,2024-02-10 00:00:00,2024,09:51:00,Passed
459,459,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,48,400m Individual Medley,Boys 14,05:50.00,10/02/2024 09:58:00,16,14,/LeagueTable/AthleticsDisciplineResults/44540?isModal=True,1,1,14,2024-02-10 00:00:00,2024,09:58:00,Passed
460,460,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,49,200m Breaststroke,Girls 12,03:40.00,10/02/2024 10:12:00,10,10,/LeagueTable/AthleticsDisciplineResults/44488?isModal=True,1,1,10,2024-02-10 00:00:00,2024,10:12:00,Passed
461,461,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,50,200m Breaststroke,Boys 12,03:35.00,10/02/2024 10:17:00,17,14,/LeagueTable/AthleticsDisciplineResults/44512?isModal=True,1,1,14,2024-02-10 00:00:00,2024,10:17:00,Passed
462,462,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,51,200m Breaststroke,Girls 13,03:30.00,10/02/2024 10:26:00,18,15,/LeagueTable/AthleticsDisciplineResults/44500?isModal=True,1,1,15,2024-02-10 00:00:00,2024,10:26:00,Passed
463,463,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,52,200m Breaststroke,Boys 13,03:25.00,10/02/2024 10:35:00,18,15,/LeagueTable/AthleticsDisciplineResults/44524?isModal=True,1,1,15,2024-02-10 00:00:00,2024,10:35:00,Passed
464,464,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,54,200m Breaststroke,Boys 14,03:15.00,10/02/2024 10:44:00,24,21,/LeagueTable/AthleticsDisciplineResults/44536?isModal=True,1,1,21,2024-02-10 00:00:00,2024,10:44:00,Passed
465,465,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,55,100m Backstroke,Girls 12,01:40.00,10/02/2024 10:57:30,22,21,/LeagueTable/AthleticsDisciplineResults/44481?isModal=True,1,1,21,2024-02-10 00:00:00,2024,10:57:30,Passed
466,466,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,56,100m Backstroke,Boys 12,01:35.00,10/02/2024 11:05:00,40,39,/LeagueTable/AthleticsDisciplineResults/44505?isModal=True,1,1,39,2024-02-10 00:00:00,2024,11:05:00,Passed
467,467,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,57,100m Backstroke,Girls 13,01:35.00,10/02/2024 11:15:00,30,27,/LeagueTable/AthleticsDisciplineResults/44493?isModal=True,1,1,27,2024-02-10 00:00:00,2024,11:15:00,Passed
468,468,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,58,100m Backstroke,Boys 13,01:30.00,10/02/2024 11:22:30,37,37,/LeagueTable/AthleticsDisciplineResults/44517?isModal=True,1,1,37,2024-02-10 00:00:00,2024,11:22:30,Passed
469,469,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,60,100m Backstroke,Boys 14,01:25.00,10/02/2024 11:32:30,41,35,/LeagueTable/AthleticsDisciplineResults/44529?isModal=True,1,1,35,2024-02-10 00:00:00,2024,11:32:30,Passed
470,470,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,61,4X50m Freestyle Relay,Girls 12-13,00:00.00,10/02/2024 11:45:00,94,76,/LeagueTable/AthleticsDisciplineResults/44552?isModal=True,1,1,76,2024-02-10 00:00:00,2024,11:45:00,Passed
471,471,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,62,4X50m Freestyle Relay,Boys 12,00:00.00,10/02/2024 11:55:00,76,68,/LeagueTable/AthleticsDisciplineResults/44554?isModal=True,1,1,68,2024-02-10 00:00:00,2024,11:55:00,Passed
472,472,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,64,4X50m Freestyle Relay,,00:00.00,10/02/2024 12:05:00,140,112,/LeagueTable/AthleticsDisciplineResults/44556?isModal=True,1,1,112,2024-02-10 00:00:00,2024,12:05:00,Passed
473,473,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,65,100m Butterfly,Girls 12,01:45.00,10/02/2024 14:15:00,15,13,/LeagueTable/AthleticsDisciplineResults/44485?isModal=True,1,1,13,2024-02-10 00:00:00,2024,14:15:00,Passed
474,474,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,66,100m Butterfly,Boys 12,01:40.00,10/02/2024 14:20:00,14,14,/LeagueTable/AthleticsDisciplineResults/44509?isModal=True,1,1,14,2024-02-10 00:00:00,2024,14:20:00,Passed
475,475,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,67,100m Butterfly,Girls 13,01:40.00,10/02/2024 14:25:30,19,19,/LeagueTable/AthleticsDisciplineResults/44497?isModal=True,1,1,19,2024-02-10 00:00:00,2024,14:25:30,Passed
476,476,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,68,100m Butterfly,Boys 13,01:35.00,10/02/2024 14:30:30,22,22,/LeagueTable/AthleticsDisciplineResults/44521?isModal=True,1,1,22,2024-02-10 00:00:00,2024,14:30:30,Passed
477,477,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,70,100m Butterfly,Boys 14,01:30.00,10/02/2024 14:38:00,25,24,/LeagueTable/AthleticsDisciplineResults/44533?isModal=True,1,1,24,2024-02-10 00:00:00,2024,14:38:00,Passed
478,478,מוקדמות אליפות צעירים חלק ב',comp.asp?compID=467,44,https://loglig.com:2053/LeagueTable/AthleticsDisciplines/10031,71,200m Freestyle,Girls 12,03:00.00,10/02/2024 14:45:30,13,10,/LeagueTable/AthleticsDisciplineResults/44487?isModal=True,1,1,10,2024-02-10 00:00:00,2024,14:45:30,Passed
